> cat("bert_msr_bert_msr:",bert_msr_bert_msr)
bert_msr_bert_msr: Strong Evidence for no effect (same distribution)  (BF = 111.949190240607 )> cat("bert_msr_bert_neg:",bert_msr_bert_neg)
bert_msr_bert_neg: No evidence for no effect (same distribution)  (BF = 1.02249972758589 )> cat("bert_msr_bert_wsj:",bert_msr_bert_wsj)
bert_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1473.29575645283 )> cat("bert_msr_cnts_msr:",bert_msr_cnts_msr)
bert_msr_cnts_msr: Positive Evidence for no effect (same distribution)  (BF = 15.2390888333267 )> cat("bert_msr_cnts_neg:",bert_msr_cnts_neg)
bert_msr_cnts_neg: No evidence for effect (different distributions)  (BF = 2.79667728427657 )> cat("bert_msr_cnts_wsj:",bert_msr_cnts_wsj)
bert_msr_cnts_wsj: Positive Evidence for effect (different distributions)  (BF = 9.46348690196348 )> cat("bert_msr_icsi_msr:",bert_msr_icsi_msr)
bert_msr_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 100.597436784366 )> cat("bert_msr_icsi_neg:",bert_msr_icsi_neg)
bert_msr_icsi_neg: Strong Evidence for effect (different distributions)  (BF = 33.6888174399737 )> cat("bert_msr_icsi_wsj:",bert_msr_icsi_wsj)
bert_msr_icsi_wsj: Positive Evidence for effect (different distributions)  (BF = 5.63252611427211 )> cat("bert_msr_isg_msr:",bert_msr_isg_msr)
bert_msr_isg_msr: Positive Evidence for no effect (same distribution)  (BF = 4.38524490150897 )> cat("bert_msr_isg_neg:",bert_msr_isg_neg)
bert_msr_isg_neg: No evidence for no effect (same distribution)  (BF = 1.63174259299099 )> cat("bert_msr_isg_wsj:",bert_msr_isg_wsj)
bert_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 26.1224125155842 )> cat("bert_msr_osu_msr:",bert_msr_osu_msr)
bert_msr_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 9.64767826844264 )> cat("bert_msr_osu_neg:",bert_msr_osu_neg)
bert_msr_osu_neg: Positive Evidence for effect (different distributions)  (BF = 5.90935531861787 )> cat("bert_msr_osu_wsj:",bert_msr_osu_wsj)
bert_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 27.9392437033196 )> cat("bert_msr_roberta_msr:",bert_msr_roberta_msr)
bert_msr_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 87.1603223165974 )> cat("bert_msr_roberta_neg:",bert_msr_roberta_neg)
bert_msr_roberta_neg: Strong Evidence for effect (different distributions)  (BF = 74.6560497829114 )> cat("bert_msr_roberta_wsj:",bert_msr_roberta_wsj)
bert_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 281799.03628855 )> cat("bert_msr_udel_msr:",bert_msr_udel_msr)
bert_msr_udel_msr: Positive Evidence for no effect (same distribution)  (BF = 3.71941271339794 )> cat("bert_msr_udel_neg:",bert_msr_udel_neg)
